x,y,z,w,center_w,cell
0.0,0.8090169943749475,-0.30901699437494745,0.5,0.80901700258255,73
0.8090169943749475,0.30901699437494745,0.0,-0.5,0.0,5
0.5,-0.8090169943749475,0.0,-0.30901699437494745,0.30901700258255005,6
-0.30901699437494745,-0.8090169943749475,0.5,0.0,0.5,9
0.5,0.8090169943749475,0.0,-0.30901699437494745,0.30901700258255005,34
0.0,-0.8090169943749475,-0.30901699437494745,-0.5,0.0,16
0.30901699437494745,-0.8090169943749475,-0.5,0.0,0.5,1
-0.30901699437494745,0.8090169943749475,0.5,0.0,0.5,80
0.8090169943749475,-0.5,-0.30901699437494745,0.0,0.5,1
-0.5,-0.5,0.5,0.5,0.80901700258255,20
-0.30901699437494745,0.0,-0.8090169943749475,0.5,0.80901700258255,3
0.0,0.0,1.0,0.0,0.5,40
0.0,0.5,0.8090169943749475,-0.30901699437494745,0.30901700258255005,148
0.8090169943749475,-0.5,0.30901699437494745,0.0,0.5,39
-0.5,0.5,0.5,-0.5,0.0,31
0.5,-0.5,-0.5,0.5,0.80901700258255,44
-0.8090169943749475,0.5,-0.30901699437494745,0.0,0.5,52
0.0,-0.30901699437494745,-0.5,0.8090169943749475,1.0,134
-0.5,-0.5,-0.5,-0.5,0.0,85
-0.5,0.5,-0.5,-0.5,0.0,46
0.0,0.0,-1.0,0.0,0.5,99
-0.8090169943749475,0.5,0.30901699437494745,0.0,0.5,121
-0.5,-0.30901699437494745,0.8090169943749475,0.0,0.5,9
0.5,0.5,-0.5,-0.5,0.0,57
0.0,-1.0,0.0,0.0,0.5,32
0.5,0.0,0.30901699437494745,0.8090169943749475,1.0,124
0.5,-0.8090169943749475,0.0,0.30901699437494745,0.80901700258255,44
-0.30901699437494745,-0.8090169943749475,-0.5,0.0,0.5,32
0.5,0.8090169943749475,0.0,0.30901699437494745,0.80901700258255,222
-0.5,0.30901699437494745,-0.8090169943749475,0.0,0.5,99
-0.30901699437494745,0.8090169943749475,-0.5,0.0,0.5,52
-0.5,0.0,0.30901699437494745,-0.8090169943749475,-0.30901700258255005,135
0.0,-0.5,-0.8090169943749475,0.30901699437494745,0.80901700258255,25
0.8090169943749475,0.0,0.5,-0.30901699437494745,0.30901700258255005,173
-0.30901699437494745,0.0,0.8090169943749475,-0.5,0.0,37
0.5,0.0,-0.30901699437494745,-0.8090169943749475,-0.30901700258255005,96
0.0,0.5,0.8090169943749475,0.30901699437494745,0.80901700258255,36
0.30901699437494745,0.0,-0.8090169943749475,-0.5,0.0,82
0.8090169943749475,0.0,-0.5,-0.30901699437494745,0.30901700258255005,221
0.5,0.30901699437494745,0.8090169943749475,0.0,0.5,10
-0.8090169943749475,0.0,-0.5,-0.30901699437494745,0.30901700258255005,219
0.5,-0.5,0.5,-0.5,0.0,49
0.8090169943749475,0.5,-0.30901699437494745,0.0,0.5,41
-0.5,0.8090169943749475,0.0,-0.30901699437494745,0.30901700258255005,18
0.0,0.0,0.0,1.0,1.0,28
0.0,0.30901699437494745,0.5,0.8090169943749475,1.0,28
-0.5,0.5,0.5,0.5,0.80901700258255,21
0.8090169943749475,0.5,0.30901699437494745,0.0,0.5,131
-0.5,-0.5,-0.5,0.5,0.80901700258255,25
0.0,0.30901699437494745,-0.5,0.8090169943749475,1.0,75
0.5,0.5,0.5,0.5,0.80901700258255,33
0.5,-0.30901699437494745,-0.8090169943749475,0.0,0.5,140
-0.8090169943749475,-0.30901699437494745,0.0,0.5,0.80901700258255,20
0.0,-0.30901699437494745,0.5,-0.8090169943749475,-0.30901700258255005,151
-0.8090169943749475,-0.30901699437494745,0.0,-0.5,0.0,2
0.5,0.5,-0.5,0.5,0.80901700258255,111
-0.30901699437494745,0.5,0.0,-0.8090169943749475,-0.30901700258255005,108
-1.0,0.0,0.0,0.0,0.5,11
0.30901699437494745,-0.5,0.0,-0.8090169943749475,-0.30901700258255005,271
0.0,0.8090169943749475,0.30901699437494745,0.5,0.80901700258255,36
-0.5,0.0,-0.30901699437494745,0.8090169943749475,1.0,174
0.0,-0.5,-0.8090169943749475,-0.30901699437494745,0.30901700258255005,101
0.5,0.0,0.30901699437494745,-0.8090169943749475,-0.30901700258255005,53
0.0,-0.8090169943749475,0.30901699437494745,-0.5,0.0,23
0.8090169943749475,0.0,-0.5,0.30901699437494745,0.80901700258255,48
-0.5,0.8090169943749475,0.0,0.30901699437494745,0.80901700258255,0
-0.5,-0.8090169943749475,0.0,-0.30901699437494745,0.30901700258255005,112
0.0,-0.8090169943749475,-0.30901699437494745,0.5,0.80901700258255,58
-0.8090169943749475,0.0,0.5,-0.30901699437494745,0.30901700258255005,27
0.30901699437494745,0.0,-0.8090169943749475,0.5,0.80901700258255,48
0.30901699437494745,0.0,0.8090169943749475,0.5,0.80901700258255,45
-0.8090169943749475,0.30901699437494745,0.0,0.5,0.80901700258255,0
-0.8090169943749475,0.30901699437494745,0.0,-0.5,0.0,31
-0.30901699437494745,-0.5,0.0,0.8090169943749475,1.0,331
-0.30901699437494745,0.0,-0.8090169943749475,-0.5,0.0,76
0.5,-0.5,-0.5,-0.5,0.0,54
-0.8090169943749475,-0.5,-0.30901699437494745,0.0,0.5,215
0.30901699437494745,0.8090169943749475,0.5,0.0,0.5,80
0.5,0.30901699437494745,-0.8090169943749475,0.0,0.5,41
-0.5,0.30901699437494745,0.8090169943749475,0.0,0.5,40
0.0,0.30901699437494745,0.5,-0.8090169943749475,-0.30901700258255005,183
-0.5,0.5,-0.5,0.5,0.80901700258255,0
-0.8090169943749475,-0.5,0.30901699437494745,0.0,0.5,9
0.0,1.0,0.0,0.0,0.5,65
0.30901699437494745,0.5,0.0,0.8090169943749475,1.0,75
0.0,-0.30901699437494745,-0.5,-0.8090169943749475,-0.30901700258255005,70
1.0,0.0,0.0,0.0,0.5,56
0.8090169943749475,0.0,0.5,0.30901699437494745,0.80901700258255,150
-0.5,-0.8090169943749475,0.0,0.30901699437494745,0.80901700258255,105
0.5,0.0,-0.30901699437494745,0.8090169943749475,1.0,124
0.0,-0.8090169943749475,0.30901699437494745,0.5,0.80901700258255,83
-0.8090169943749475,0.0,0.5,0.30901699437494745,0.80901700258255,29
0.0,-0.5,0.8090169943749475,-0.30901699437494745,0.30901700258255005,261
0.8090169943749475,-0.30901699437494745,0.0,0.5,0.80901700258255,44
0.0,0.0,0.0,-1.0,-0.80901700258255,15
0.8090169943749475,-0.30901699437494745,0.0,-0.5,0.0,5
-0.5,-0.30901699437494745,-0.8090169943749475,0.0,0.5,99
0.0,0.8090169943749475,-0.30901699437494745,-0.5,0.0,4
-0.5,0.0,-0.30901699437494745,-0.8090169943749475,-0.30901700258255005,89
-0.8090169943749475,0.0,-0.5,0.30901699437494745,0.80901700258255,3
0.5,-0.30901699437494745,0.8090169943749475,0.0,0.5,30
0.30901699437494745,-0.8090169943749475,0.5,0.0,0.5,43
0.5,-0.5,0.5,0.5,0.80901700258255,167
0.30901699437494745,0.8090169943749475,-0.5,0.0,0.5,65
-0.30901699437494745,0.0,0.8090169943749475,0.5,0.80901700258255,45
0.0,0.5,-0.8090169943749475,-0.30901699437494745,0.30901700258255005,14
0.0,-0.30901699437494745,0.5,0.8090169943749475,1.0,260
-0.5,-0.5,0.5,-0.5,0.0,23
-0.30901699437494745,0.5,0.0,0.8090169943749475,1.0,28
-0.30901699437494745,-0.5,0.0,-0.8090169943749475,-0.30901700258255005,139
0.0,0.5,-0.8090169943749475,0.30901699437494745,0.80901700258255,206
0.5,0.5,0.5,-0.5,0.0,38
0.30901699437494745,-0.5,0.0,0.8090169943749475,1.0,331
0.0,-0.5,0.8090169943749475,0.30901699437494745,0.80901700258255,45
-0.5,0.0,0.30901699437494745,0.8090169943749475,1.0,28
0.0,0.30901699437494745,-0.5,-0.8090169943749475,-0.30901700258255005,93
0.0,0.8090169943749475,0.30901699437494745,-0.5,0.0,4
0.30901699437494745,0.5,0.0,-0.8090169943749475,-0.30901700258255005,7
0.30901699437494745,0.0,0.8090169943749475,-0.5,0.0,37
0.8090169943749475,0.30901699437494745,0.0,0.5,0.80901700258255,141
